text,href
KIP-1: Introduce BCT Bonds,https://snapshot.box/#/s:klimadao.eth/proposal/QmTvD4PzBCDABipuJvAkYKDBVaVmkN2aFA7aWWdBatzjp4
KIP-2 KlimaDAO Bug Bounty,https://snapshot.box/#/s:klimadao.eth/proposal/0x9df154d1531aabcc2ed7258833c18e0c39d6f527394b387233a63ff3eabdb010
KIP-3 Introduce Policy Framework,https://snapshot.box/#/s:klimadao.eth/proposal/0xbe5ba88701e09fad2548ec2aca539b23cc04a5b7bc1961397fc98a0a303c5249
KIP-4: Introduce wsKLIMA/gOHM bonds,https://snapshot.box/#/s:klimadao.eth/proposal/0x554482501e69eb4da3fcb6c98de54b932e87bd635319224765a5c495d4be7f0f
KIP-5: Align APY,https://snapshot.box/#/s:klimadao.eth/proposal/0x23ad83944ace8d3676cb44a8dadefe845c2db8a78ba7dd008eaa8d2a0bfb50e5
KIP-6: Introduce MOSS bonds,https://snapshot.box/#/s:klimadao.eth/proposal/0xb6eb87e78a6ab84fca64e9cbc5b08d9261bc6b7d6dc236c440e19420312412eb
KIP-8: Introduce KLIMA/USDC bonds,https://snapshot.box/#/s:klimadao.eth/proposal/0xcc99da71fd0aa8dbffddff98cb5f5662193944cef9d604e91f265323c7ddedc8
KIP-9: Protocol Maturation and APY Alignment,https://snapshot.box/#/s:klimadao.eth/proposal/0xee393ab8954a605556b2fb0ea30aae4dd86c852a9343c8a8fe8b9306aaee785b
KIP-10: KlimaDAO Compensation Framework,https://snapshot.box/#/s:klimadao.eth/proposal/0xa63e839bbde9160b779adcf53005d15a67c55b9174742e853711cf743834053a
KIP-11: TCO2 conversion,https://snapshot.box/#/s:klimadao.eth/proposal/0xb6f70f84fbb0f5a24f67f73c30a7966af4f8e3572a2885011c6a0e705fb8178b
KIP-12: Inverse bonds,https://snapshot.box/#/s:klimadao.eth/proposal/0xa72601fcee690c061a8bba6e717ee74db09f782eb3bbbefeaf27ce1e2dad0a35
KIP-13: Redeem and Utilize 25% BCT/USDC LP,https://snapshot.box/#/s:klimadao.eth/proposal/0xb81487aac681331c5b2244df47c46765ed5d5c8a2f9a2b583569557dbab11ed9
KIP-14: Resilience Mode,https://snapshot.box/#/s:klimadao.eth/proposal/0x719a96c6ed896e239b5f60f245213ade7a546c3295b768f932daf43c3b2adf5e
KIP-15: C3 Alliance & veGovernance,https://snapshot.box/#/s:klimadao.eth/proposal/0xfede6077876de9777b6ecfb4fe60968c2ff5d0ceaa44178c734f957a6a630f03
KIP-16: Use pKlima to deepen KLIMA/USDC LP,https://snapshot.box/#/s:klimadao.eth/proposal/0xf6c26e1519a017b48e5c9be812a3746eaf4e27872560068cb0e379339adb5e83
KIP-17: Delegate Retirement Aggregator Inclusions,https://snapshot.box/#/s:klimadao.eth/proposal/0xc8e25eb8aa499b343c521c3ff339923f7743cc76a9b08ca14568c89feab3fff9
KIP-18: pKLIMA Redemption Framework + Redeem and Utilize 25% BCT/USDC LP,https://snapshot.box/#/s:klimadao.eth/proposal/0x3918360336e5f92e72b57e46a129c674ce738ff33d84d639303f1ca8bc3132b7
KIP-19: Internal Governance Model,https://snapshot.box/#/s:klimadao.eth/proposal/0x5518f644377aad2bbf2a25296215ad7db257ad983fe67973927daca051213d7b
KIP-20: Aave & Curve Whitelist,https://snapshot.box/#/s:klimadao.eth/proposal/0x4b57eabc9372a2680df257a5cd1257ac541bed7f82617306162ae6dbeb116707
KIP-22: Whitelist C3 Gauges,https://snapshot.box/#/s:klimadao.eth/proposal/0xc84e955607baa9860d9f5880f3d23fa0a5321feb73d3390304a5faeac3bf8cae
KIP-23: New Framework for Supply Expansion,https://snapshot.box/#/s:klimadao.eth/proposal/0xfb993e02d6481161330c3064bbc64cd715eb9814d8bcaaa2a298a0a7aa3d27f1
KIP-24: Utilize USDC to Extend Development Runway,https://snapshot.box/#/s:klimadao.eth/proposal/0x10b6a151ddf29092d4790f655ba4d7de34e42606b51c572d1b849fae670e3a7a
KIP-25: Dissolve 50% of Remaining BCT/USDC LP,https://snapshot.box/#/s:klimadao.eth/proposal/0x918abd2ee465726bbe44e26e9afdef705c755d6356d0d13e72e8ddc2847660a4
KIP-26a: HFC-23 Cleanup Operation,https://snapshot.box/#/s:klimadao.eth/proposal/0x2ae3fce131f98bf22ec9ef306a13e359002eaea0d111328149204dfd9dc9b2e4
KIP-27: Conservation Phase,https://snapshot.box/#/s:klimadao.eth/proposal/0xe69c1ccf0fe4c9a09586c3bd3263d4e8728698319560070cea1209785a2da462
KIP-28: Build NCT Liquidity,https://snapshot.box/#/s:klimadao.eth/proposal/0xd358805de0e8730a9f6e48f0f5f1bd83765d1d6c519d5568accf8be3726cf756
KIP-29: Build UBO and NBO liquidity,https://snapshot.box/#/s:klimadao.eth/proposal/0xe9de3ba110ee4faec24ef39379cdfbdbd36be7b84557e1fb0b31b3f0e033535f
KIP-30: Reserve USDC to fund operating expenditure,https://snapshot.box/#/s:klimadao.eth/proposal/0xa50ab29cec789ef036da914742ad68020b93369f53b5cc1e78511e6c78a979b9
KIP-31: Introduce Retirement Bonds,https://snapshot.box/#/s:klimadao.eth/proposal/0x8e4ef40a18b00d40ad041200d3f30ae7f8c015c2d75560a8b100b126fb4cea78
KIP-32: StarCB EEIMP Project,https://snapshot.box/#/s:klimadao.eth/proposal/0x930b6004d537544bd996fd2e90d07fb1c55e37010cb3cf59d88a20f9bca85036
KIP-33: Allocate a portion of the retirement aggregator fee to the DAO wallet,https://snapshot.box/#/s:klimadao.eth/proposal/0xa2d8bd41a802c91aefec315923c41e8e724032858c5393e18fcd05272e56d5c7
