id,timestamp,klimaCirculatingSupply,sKlimaCirculatingSupply,totalSupply,totalKlimaUnstaked,klimaPrice,marketCap,klimaIndex,treasuryBalanceKLIMA,treasuryBalanceUSDC,treasuryCarbon,treasuryCarbonCustodied,treasuryMarketValue,treasuryUSDCInLP,totalValueLocked,totalKlimaInLP,runwayCurrent,datetime
1634688000,1634696787,272607.3594,256749.0591,274513.4083,12010.83987,2230.306609,607997995.4,0,0,0,3689938.512,733119.9843,41377933.45,7224182.65,572629123.5,5753.509269,63.45054309,2021-10-20 02:26:27+00:00
1634774400,1634774606,279516.4494,266037.4633,282226.5851,10574.88849,2375.756546,664063034.4,0,0,0,4273522.242,754119.1684,41040436.6,6688115.677,632040244.9,5614.233353,63.09969783,2021-10-21 00:03:26+00:00
1634860800,1634860915,285547.3198,272746.5153,288940.5645,10647.73353,3190.57406,911059871.4,0,0,0,5002541.747,997607.3629,51777905.63,7123485.505,870217956.7,5546.315633,79.35394815,2021-10-22 00:01:55+00:00
1634947200,1634947663,291741.1871,278883.2394,295439.8307,10676.89301,3175.718508,926487887.6,0,0,0,5326345.121,1044426.663,54204410.48,8065372.349,885654665,5879.698308,80.64226638,2021-10-23 00:07:43+00:00
1635033600,1635034198,308964.1852,296102.784,312554.0702,9970.52874,2998.893484,926550682,0,0,0,5594113.653,1289957.485,57387255.62,8417910.527,887980709.7,6480.757403,88.90803118,2021-10-24 00:09:58+00:00
1635120000,1635120569,315662.38,302627.0476,319331.4278,9843.840501,3519.298894,1110910265,0,0,0,5931916.498,1400393.721,69467774.25,9341596.518,1065035034,6860.539674,93.64017917,2021-10-25 00:09:29+00:00
1635206400,1635206792,321912.1731,308795.771,325998.4349,10130.4311,3424.310175,1102327130,0,0,0,6318213.415,1422477.126,70101738.12,9635134.075,1057412501,7072.23276,92.78320745,2021-10-26 00:06:32+00:00
1635292800,1635292886,328102.1121,314033.8213,332336.7864,10676.95475,3319.963598,1089287069,0,0,0,6455996.722,1485930.454,73606718.86,9994976.231,1042580855,7626.01038,94.81592267,2021-10-27 00:01:26+00:00
1635379200,1635379301,336892.0168,322488.2574,341301.3889,10674.92288,2878.345601,969691654.5,0,0,0,6863049.032,1581466.052,70118562.94,10318779.17,928232657.2,8138.208584,96.52951736,2021-10-28 00:01:41+00:00
1635465600,1635468622,343553.0081,325458.658,348334.0338,13152.75701,1913.885796,657521222.2,0,0,0,6769806.11,1602468.817,58678105.87,9919764.882,622890702.6,9722.618805,94.75602552,2021-10-29 00:50:22+00:00
1635552000,1635555030,351347.6105,334585.4288,357050.9173,12042.51016,2085.662992,732792708.6,0,0,0,6994623.324,1633338.337,66879099.49,10480420.19,697832446.4,10422.97835,92.0765582,2021-10-30 00:50:30+00:00
1635638400,1635638417,360013.8012,341683.802,365778.0245,12386.7467,1682.291972,605648327.5,0,0,0,7005302.79,1655789.636,61724990.32,10225126.88,574811916.9,11707.47587,88.80311145,2021-10-31 00:00:17+00:00
1635724800,1635724802,367685.7632,349373.6492,374163.7598,12632.6676,1863.160459,685057575.4,0,0,0,7296059.305,1727900.336,70453006.12,11167291.13,650939168.7,12157.44302,88.58548962,2021-11-01 00:00:02+00:00
1635811200,1635811797,376401.0555,358511.9666,383401.7204,12427.42177,1988.296235,748396801.4,0,0,0,7712667.645,1772577.466,75720437.11,11490943.74,712827993.3,12462.33204,89.37049932,2021-11-02 00:09:57+00:00
1635897600,1635898062,386292.883,368294.916,393658.5494,12556.54414,2445.067997,944512365.7,0,0,0,8098359.339,1835088.97,92698945.76,12995636.96,900506112.5,12807.08929,91.77641824,2021-11-03 00:07:42+00:00
1635984000,1635984208,395526.0355,375597.0195,402961.8271,13661.64898,2427.267563,960047516.3,0,0,0,8255708.771,1902060.875,98889695.94,13880287.71,911674462.1,13703.15861,91.78517952,2021-11-04 00:03:28+00:00
1636070400,1636070445,403896.5542,383250.6961,411358.4493,13664.11093,2232.33257,901631433.1,0,0,0,8563371.884,1942836.185,96290143.37,13816751.23,855543011.6,14443.64226,91.55993059,2021-11-05 00:00:45+00:00
1636156800,1636156906,415030.1623,393594.5899,422787.674,13623.90614,2032.779771,843664918.3,0,0,0,8735693.196,2038839.062,95565112.86,13882923.91,800091120.4,15569.17794,91.47435276,2021-11-06 00:01:46+00:00
1636243200,1636244037,423914.3684,401642.134,431948.6712,14061.65065,2152.914367,912651334.3,0,0,0,8918480.278,2062563.698,104468085.6,14715018.69,864701120.8,16244.88658,89.67518598,2021-11-07 00:13:57+00:00
1636329600,1636329728,435292.0679,412703.2343,443618.3125,13662.55592,2072.694307,902227391.1,0,0,0,9067428.806,2109281.89,107180416.8,15163580.16,855407644.2,17252.52235,89.86462058,2021-11-08 00:02:08+00:00
1636416000,1636416026,444685.8589,420134.2895,453322.066,14793.91071,1949.083703,866729960.6,0,0,0,9180240.473,2184765.836,108299733.5,15668855.39,818876896.7,18393.86578,90.07780781,2021-11-09 00:00:26+00:00
1636502400,1636503324,454097.0428,429485.909,462649.9487,13820.47292,1885.512166,856205498.6,0,0,0,9325121.167,2209459.545,110329403.6,15804022.04,809800906.3,19343.56682,89.58982956,2021-11-10 00:15:24+00:00
1636588800,1636588992,466023.3482,439628.9054,474882.67,14408.2279,1713.187219,798385244,0,0,0,9362429.812,2251982.093,109072193.9,16091773.55,753166621.8,20845.53669,90.74449118,2021-11-11 00:03:12+00:00
1636675200,1636676295,475171.0704,447337.2216,484373.9663,15143.96371,1615.258293,767524012.2,0,0,0,9523775.507,2318794.076,108869894.5,16270335.06,722565157,21892.78095,92.48263612,2021-11-12 00:18:15+00:00
1636761600,1636761639,484259.0738,455798.0388,494043.8481,15205.48633,1588.43635,769214715.8,0,0,0,9643880.896,2398678.905,112640956,16676492.65,724006173.1,23040.32299,94.4878942,2021-11-13 00:00:39+00:00
1636848000,1636848597,497025.0846,467300.7975,507319.0525,15932.08468,1583.504264,787041340.6,0,0,0,9845107.072,2426642.788,116783334.6,17109229.78,739972805.2,24086.17036,93.06923654,2021-11-14 00:09:57+00:00
1636934400,1636934552,507229.6297,474742.0935,518049.2199,17451.14896,1421.643907,721099912.6,0,0,0,9930712.026,2500307.369,114299628,17156307.57,674914204.7,25855.97746,91.21056885,2021-11-15 00:02:32+00:00
1637020800,1637021726,520068.3095,482154.655,530921.5341,20819.7772,1257.374458,653920609,0,0,0,9893117.719,2573336.264,111201551.8,17049771.26,606248948.2,27947.10194,92.01141,2021-11-16 00:15:26+00:00
1637107200,1637108784,533869.4939,495754.7845,544915.0881,20185.8862,1221.526193,652135570.5,0,0,0,10089797.42,2639087.027,112370087.2,17221169.31,605577454.6,28974.41742,90.49626794,2021-11-17 00:26:24+00:00
1637193600,1637194317,545273.9948,505696.8603,556515.9145,20559.804,1208.583184,659008980.8,1.691057118,0,0,10225845.04,2687303.443,115807861.8,17708634.81,611176721.6,30259.25017,91.37372641,2021-11-18 00:11:57+00:00
1637280000,1637281441,561775.6864,525761.0616,574321.9583,19080.52048,1526.12933,857342352,1.728071377,0,0,10905917.46,2803711.793,137393965,18631667.66,802379376.8,29480.37626,91.01871314,2021-11-19 00:24:01+00:00
1637366400,1637366694,573462.0478,536642.7765,586603.5848,19499.99188,1615.617045,926495059.1,1.756335185,0,0,11139756.12,2883155.575,148874860.1,19609585.02,867009216.7,30460.81641,92.37094709,2021-11-20 00:04:54+00:00
1637452800,1637453655,585127.2084,546484.1735,597187.3441,18993.57572,1501.69865,878684738.9,1.785068439,0,0,11152095.53,2945358.736,145706939.8,19536327.33,820654545.6,31709.59484,92.67740201,2021-11-21 00:14:15+00:00
1637539200,1637539560,601075.9268,560992.7225,612810.4833,18527.77173,1452.719952,873194991.3,1.824060014,0,0,11145292.21,3017637.729,149058636.7,20100336.73,814965320.7,33289.98908,92.45026586,2021-11-22 00:06:00+00:00
1637625600,1637626213,613015.5073,572420.0777,625115.7272,18229.89282,1469.630165,900906080.9,1.853882091,0,0,11326089.56,3078349.246,154762942.1,20713194.99,841245813.1,34465.75671,94.39105923,2021-11-23 00:10:13+00:00
1637712000,1637712163,625473.8842,583298.0656,637921.9488,18973.52862,1453.033358,908834418.6,1.884199476,0,0,11445673.94,3163302.176,159429469.3,21150287.84,847551547.2,35650.35458,94.52784486,2021-11-24 00:02:43+00:00
